QID,domain,subdomain,question,imageURL,options,answer,explaination
549,P-Block Elements,Nitric Acid,"What is the nitric acid – water composition by mass, respectively, for the components to form an azeotrope?",0,"['70% – 30%', '68% – 32%', '30% – 70%', '32% – 68%']",b,"Experimentally, it is determined that nitric acid and water form a constant boiling azeotrope at 68% – 32% by mass composition, respectively. Here, it becomes impossible to separate water and nitric acid by distillation methods. Thus, concentrated sulfuric acid is used for dehydration and removal of water."
550,P-Block Elements,Nitric Acid,Which of these gases is released upon treating zinc with diluted and then concentrated nitric acid?,0,"['Nitrogen dioxide and nitrous oxide', 'Nitric oxide and nitrous oxide', 'Nitrous oxide and nitrogen dioxide', 'Nitrous oxide and nitric oxide']",c,"The products released depend on the concentration of nitric acid. In case of zinc metal, diluted nitric acid treatment release nitrous oxide and concentrated nitric acid causes the release of nitrogen dioxide."
551,P-Block Elements,Nitric Acid,What product(s) is/are formed when aluminum metal is treated with concentrated nitric acid?,0,"['Al (NO<sub>3</sub>) <sub>3</sub>', 'Al (NO<sub>2</sub>) <sub>3</sub> + H<sub>2</sub>', ' Al<sub>2</sub>O<sub>3</sub>', 'Al<sub>4</sub>O<sub>3</sub>']",c,"Aluminum does not dissolve in nitric acid. This is because treatment with nitric acid results in the formation of a tough oxide layer. This oxide layer prevents it from further reacting with the oxide. Hence, the compound formed is Al<sub>2</sub>O<sub>3</sub> i.e. aluminum (III) oxide."
552,P-Block Elements,Nitric Acid,Which reagent is predominantly used in pickling of stainless steel?,0,"['Iodic acid', 'Nitric acid', 'Phosphoric acid', 'Sulfuric acid']",b,Pickling of stainless steel is the process of removal of a thin layer of the alloyed metal from the surface. The common reagent used is nitric acid along with calculated amounts of hydrofluoric acid.
553,P-Block Elements,Nitric Acid,How many moles of nitric acid is required to convert 1 mole of sulfur to sulfuric acid?,0,"['10', '4', '48', '20']",c,"1 mole of sulfur, S<sub>8</sub> requires 48 moles of concentrated nitric acid. The reaction is given by  S<sub>8</sub> + 48HNO<sub>3</sub> → 8H<sub>2</sub>SO<sub>4</sub> + 48NO<sub>2</sub> + 16H<sub>2</sub>O. 10, 4 and 20 moles of concentrated nitric acid is required to produce iodic acid, carbon dioxide and phosphoric acid from 1 mole of iodine, carbon and phosphorus, respectively."
554,P-Block Elements,Phosphorus-Allotropic Forms,Which allotrope of phosphorus is the most stable?,0,"['White phosphorus', 'Red phosphorus', 'Black phosphorus', 'Phosphine']",c,"Black phosphorus is thermodynamically, the most stable allotrope of phosphorus and does not burn in air even up to 673 K. It has a sharp melting point of 860 K. Like graphite, it is fairly a good conductor of electricity."
555,P-Block Elements,Phosphorus-Allotropic Forms,Which allotrope of phosphorus is the most reactive?,0,"['White phosphorus', 'Metal phosphorus', 'Red phosphorus', ' Beta-black phosphorus']",a,The three allotropic forms of phosphorus differ widely in their chemical reactivity in which white phosphorus is the most reactive while black and red phosphorus are less reactive. White phosphorus is made up of discrete P<sub>4</sub> tetrahedra which are subjected to very high angular strain as the angles is 60 degrees. This high angular strain makes white phosphorus unstable and highly reactive.
556,P-Block Elements,Phosphorus-Allotropic Forms,Red phosphorus is kept under water to protect it from air.,0,"['True', 'False']",b,"White phosphorus is a highly reactive clement and must be stored underwater for safekeeping to prevent it from catching fire spontaneously in the air. In water, white phosphorus reacts with oxygen within hours or days. In water with low oxygen, white phosphorus may degrade to a highly toxic compound called phosphine, which eventually evaporates to the air and is changed to less harmful chemicals."
557,P-Block Elements,Phosphorus-Allotropic Forms,From which type of phosphorus is alpha -black phosphorus formed?,0,"['Phosphide', 'White phosphorus', 'Black phosphorus', 'Red phosphorus']",d,"Alpha-black phosphorus is the most stable allotrope of black phosphorus. Alpha-black phosphorus is produced from red phosphorus. When red phosphorus is heated in a sealed tube at 803 K, it forms alpha-black phosphorus."
558,P-Block Elements,Phosphorus-Allotropic Forms,Beta-black phosphorus is prepared by heating white phosphorus.,0,"['True', 'False']",a,"Yes, Beta-black phosphorus is prepared by heating white phosphorus at 473 K under high pressure(4000-12000 atm) in an inert atmosphere. It has layered structure in which each phosphorus atom is covalently bonded to three neighbouring phosphorus atoms."
559,P-Block Elements,Phosphorus-Allotropic Forms,"Like white phosphorus, which phosphorus also exists as P<sub>4</sub>?",0,"['Black phosphorus', 'Red phosphorus', 'Phosphine', 'Beta-black phosphorus']",b,"Like white phosphorus, red phosphorus also exists as P<sub>4</sub> tetrahedra but these are joined together through covalent bonds to give a polymeric structure. Because of polymeric structure, its melting point (883 K) is much higher than that of white phosphorus(317 K)."
560,P-Block Elements,Phosphorus-Allotropic Forms,Which allotrope of phosphorus does not catch fire easily?,0,"['White phosphorus', 'Alpha- black phosphorus', 'Beta- black phosphorus', 'Red phosphorus']",d,"Red phosphorus is a relatively stable allotrope of phosphorus at room temperature. Its ignition temperature(543 K) is much higher than that of white phosphorus(303 K). As a result, it does catch fire easily."
561,P-Block Elements,Phosphorus-Allotropic Forms,White phosphorus can be reconverted to red phosphorus.,0,"['True', 'False']",a,"Yes, red phosphorus sublimes on heating giving vapours which are the same as by white phosphorus. When these vapours are condensed, white phosphorus is obtained. This gives us simple method of reconverting red phosphorus into white phosphorus."
562,P-Block Elements,Phosphorus-Allotropic Forms,Which allotrope of phosphorus is also called yellow phosphorus?,0,"['Black phosphorus', 'Red phosphorus', 'Beta- black phosphorus', 'White phosphorus']",d,"White phosphorus on exposure to light, it turns yellow. It glows greenish in the dark (when exposed to oxygen) and is highly flammable and pyrophoric (self-igniting) upon contact with air. Therefore it is called yellow phosphorus."
563,P-Block Elements,Phosphorus-Allotropic Forms,What is the allotrope of phosphorus in which P-atom completes its octet?,0,"['Alpha-black phosphorus', 'Beta-black phosphorus', 'White phosphorus', 'Red phosphorus']",c,White phosphorus exists as P<sub>4</sub> units. The four sp<sup>3</sup> hybridized phosphorus atoms lie at the corners of a regular tetrahedron with an angle of 60 degree. Each phosphorus atom is linked to three other P-atoms by covalent bonds so that each p-atom completes it octet.
564,P-Block Elements,Phosphine,Which of the following is not true about phosphine?,0,"['Phosphine is a colorless gas', 'Phosphine has a rotten fish smell', 'Phosphine is inflammable', 'Phosphine is highly poisonous']",c,"Phosphine is a colorless gar with rotten fish smell and is highly poisonous. In pure state, phosphine is non-flammable but becomes inflammable owing to the presence of P<sub>2</sub>H<sub>4</sub> or White phosphorous (P<sub>4</sub>) vapours."
565,P-Block Elements,Phosphine,Phosphine acts as a Lewis acid.,0,"['True', 'False']",b,Phosphine acts as a Lewis base and reacts with acidic species to form phosphinium salts.
566,P-Block Elements,Phosphine,Phosphine is prepared from which of the following methods?,0,"['By reacting calcium phosphide with water or dilute HCl', 'By directly reacting phosphorous with hydrogen', 'By passing dry chlorine over P<sub>2</sub>H<sub>4</sub>', 'Heating while phosphorous with halides']",a,Phosphine is prepared by the reaction of calcium phosphide with water or dilute HCl.
567,P-Block Elements,Phosphine,Which of the following is a property of phosphine?,0,"['It is insoluble in water', 'It is inflammable', 'The solution of phosphine in water decomposes in the presence of light', 'It acts as a Lewis acid']",c,Phosphine is slightly soluble in water and is non-flammable in pure form. It is a Lewis base and the solution of phosphine in water decomposes in the presence of light giving red phosphorous and hydrogen gas.
568,P-Block Elements,Phosphine,Which of the following gas is used as Holmes signal?,0,"['Hydrogen per oxide', 'Nitrogen', 'Acetylene', 'Phosphine']",d,"When a mixture of calcium carbide and calcium phosphide placed in a container is made to react with water, it produces the gases phosphine and acetylene. This signal produced due to the burning gases is called Holmes signal."
569,P-Block Elements,Phosphine,What is the reaction involved in Holmes signal?,0,"['Ca<sub>3</sub>P<sub>2</sub> + 6H<sub>2</sub>O → 2PH<sub>3</sub> + 3Ca(OH) <sub>2</sub>', 'Ca<sub>3</sub>P<sub>2</sub> + 6H<sub>2</sub>O → 2PH<sub>3</sub> → P<sub>2</sub>H<sub>4</sub> + P<sub>4</sub>O<sub>6</sub> and CaC<sub>2</sub> + H<sub>2</sub>O → C<sub>2</sub>H<sub>2</sub>', 'Ca<sub>3</sub>P<sub>2</sub> + 6HCl → 2PH<sub>3</sub> + 3CaCl<sub>2</sub>', 'P<sub>4</sub> + 3NaOH + 3H<sub>2</sub>O → PH<sub>3</sub> + 3NaH<sub>2</sub>PO<sub>2</sub>']",b,The reactions involved in Holmes signal are:
570,P-Block Elements,Phosphine,What is the hybridization of phosphine?,0,"['sp<sup>2</sup> hybridized', 'sp<sup>3</sup> hybridized', 'sp hybridized', 'No hybridization']",d,The hybridization of phosphine seems like sp<sup>2</sup> but in reality the molecule has no hybridization as it forms all bonds using its pure p orbitals. This can be proved from its bong angle data which shows that its bond angles are 93.5°.
571,P-Block Elements,Phosphine,What is the structure of phosphine?,0,"['Trigonal pyramidal', 'Trigonal bi-pyramidal', 'Rhombohedral', 'Pyramidal']",a,Phosphine has a trigonal pyramidal structure with molecular symmetry. The length of the bond between phosphorous and hydrogen is 1.42 × 10<sup>-10</sup> m and the bond angles are equal and are known to be 93.5°.
572,P-Block Elements,Phosphine,Which of the following compounds react with water to give phosphine?,0,"['Phosphorous trichloride', 'Phosphorous pentachloride', 'Black phosphorous', 'Aluminium phosphide']",d,Metal phosphides such as aluminium phosphide reacts with water to from phosphine and metal hydroxide.
573,P-Block Elements,Phosphine,Phosphine like ammonia has very high affinity for water.,0,"['True', 'False']",b,"The ammonia molecule has the capability to form a dative bond due to the lone pair of electrons. There is a formation of H-bond due to strong dipole-dipole attraction between ammonia and water molecules where as in phosphine the H-bond is weak and the P-H bond is non-polar so, it is only slightly soluble in water but highly soluble in non-polar solvents."
574,P-Block Elements,Phosphorus Halides,Phosphorus trichloride reacts violently with water.,0,"['True', 'False']",a,Phosphorus trichloride reacts violently with water to produce phosphorus acid (H<sub>3</sub>PO<sub>3</sub>) and hydrochloric acid.
575,P-Block Elements,Phosphorus Halides,Which of the following reacts with PCl<sub>3</sub> to form PCl<sub>5</sub>?,0,"['O<sub>2</sub>', 'N<sub>2</sub>', 'S', 'Cl<sub>2</sub>']",d,Phosphorus trichloride (PCl<sub>3</sub>) reacts with chlorine gas (Cl<sub>2</sub>) to form phosphorus pentachloride (PCl<sub>5</sub>).
